Android_time,Stonex_gnss_time,Delta_Android-Stonex,Stonex_status,Stonex_time_check
2023-04-26 17:00:40.023,2023-04-26 17:00:39.8,223,1,15+0+39.8
2023-04-26 17:00:40.262,2023-04-26 17:00:40.0,262,1,15+0+40.0
2023-04-26 17:00:40.262,2023-04-26 17:00:40.0,262,1,15+0+40.0
2023-04-26 17:00:40.262,2023-04-26 17:00:40.0,262,1,15+0+40.0
2023-04-26 17:00:40.425,2023-04-26 17:00:40.2,225,1,15+0+40.2
2023-04-26 17:00:40.626,2023-04-26 17:00:40.4,226,1,15+0+40.4
2023-04-26 17:00:40.9,2023-04-26 17:00:40.6,300,1,15+0+40.6
2023-04-26 17:00:40.999,2023-04-26 17:00:40.8,199,1,15+0+40.8
2023-04-26 17:00:41.334,2023-04-26 17:00:41.0,334,1,15+0+41.0
2023-04-26 17:00:41.334,2023-04-26 17:00:41.0,334,1,15+0+41.0
2023-04-26 17:00:41.397,2023-04-26 17:00:41.2,197,1,15+0+41.2
2023-04-26 17:00:41.596,2023-04-26 17:00:41.4,196,1,15+0+41.4
2023-04-26 17:00:41.797,2023-04-26 17:00:41.6,197,1,15+0+41.6
2023-04-26 17:00:42.026,2023-04-26 17:00:41.8,226,1,15+0+41.8
2023-04-26 17:00:42.224,2023-04-26 17:00:42.0,224,1,15+0+42.0
2023-04-26 17:00:42.397,2023-04-26 17:00:42.0,397,1,15+0+42.0
2023-04-26 17:00:42.397,2023-04-26 17:00:42.0,397,1,15+0+42.0
2023-04-26 17:00:42.397,2023-04-26 17:00:42.2,197,1,15+0+42.2
2023-04-26 17:00:42.669,2023-04-26 17:00:42.4,269,1,15+0+42.4
2023-04-26 17:00:43.465,2023-04-26 17:00:42.8,665,1,15+0+42.8
2023-04-26 17:00:43.504,2023-04-26 17:00:43.0,504,1,15+0+43.0
2023-04-26 17:00:43.504,2023-04-26 17:00:43.0,504,1,15+0+43.0
2023-04-26 17:00:43.504,2023-04-26 17:00:43.0,504,1,15+0+43.0
2023-04-26 17:00:43.504,2023-04-26 17:00:43.2,304,1,15+0+43.2
2023-04-26 17:00:43.668,2023-04-26 17:00:43.4,268,1,15+0+43.4
2023-04-26 17:00:43.936,2023-04-26 17:00:43.6,336,1,15+0+43.6
