Input,Time,Latitude,Longitude,Pitch,Yaw,Roll,Stonex_status
SMAR,2023-04-27 09:17:38.93,46.0657255,11.0969766,308.44,348.45,1.03,null
SMAR,2023-04-27 09:17:38.976,46.0657255,11.0969766,308.11,348.29,1.13,null
STON,2023-04-27 09:17:38.976,46.065726773,11.096974806,-1.32055,278.167557,0.068637,1
SMAR,2023-04-27 09:17:39.014,46.0657255,11.0969766,307.73,348.48,1.01,null
SMAR,2023-04-27 09:17:39.036,46.0657255,11.0969766,308.12,348.5,0.99,null
SMAR,2023-04-27 09:17:39.08,46.0657255,11.0969766,308.26,348.45,0.95,null
STON,2023-04-27 09:17:39.08,46.065726773,11.096974806,-1.320719,278.16571,0.067495,1
SMAR,2023-04-27 09:17:39.111,46.0657255,11.0969766,308.12,348.66,0.82,null
SMAR,2023-04-27 09:17:39.14,46.0657255,11.0969766,308.17,348.75,0.91,null
SMAR,2023-04-27 09:17:39.174,46.0657255,11.0969766,308.25,348.86,0.97,null
SMAR,2023-04-27 09:17:39.205,46.0657255,11.0969766,308.15,349.03,1.03,null
SMAR,2023-04-27 09:17:39.241,46.0657255,11.0969766,308.16,349.18,1.09,null
SMAR,2023-04-27 09:17:39.273,46.0657201,11.0969792,308.26,349.28,1.14,null
STON,2023-04-27 09:17:39.273,46.065726773,11.096974806,-1.322136,278.151855,0.068477,1
SMAR,2023-04-27 09:17:39.307,46.0657201,11.0969792,308.32,349.45,1.14,null
SMAR,2023-04-27 09:17:39.338,46.0657201,11.0969792,308.43,349.66,1.11,null
SMAR,2023-04-27 09:17:39.373,46.0657201,11.0969792,308.57,349.77,1.13,null
SMAR,2023-04-27 09:17:39.405,46.0657201,11.0969792,308.51,349.96,1.12,null
STON,2023-04-27 09:17:39.405,46.0657267785,11.096974829833334,-1.322136,278.151855,0.068477,1
STON,2023-04-27 09:17:39.405,46.0657267785,11.096974829833334,-1.322136,278.151855,0.068477,1
SMAR,2023-04-27 09:17:39.439,46.0657201,11.0969792,308.41,350.21,1.11,null
SMAR,2023-04-27 09:17:39.471,46.0657201,11.0969792,308.43,350.41,1.09,null
STON,2023-04-27 09:17:39.471,46.0657267785,11.096974829833334,-1.323524,278.150696,0.066621,1
SMAR,2023-04-27 09:17:39.509,46.0657201,11.0969792,308.43,350.67,1.06,null
SMAR,2023-04-27 09:17:39.537,46.0657201,11.0969792,308.4,351.0,1.06,null
SMAR,2023-04-27 09:17:39.571,46.0657201,11.0969792,308.35,351.3,1.1,null
SMAR,2023-04-27 09:17:39.602,46.0657201,11.0969792,308.3,351.61,1.16,null
SMAR,2023-04-27 09:17:39.635,46.0657201,11.0969792,308.34,351.84,1.17,null
SMAR,2023-04-27 09:17:39.67,46.0657201,11.0969792,308.41,352.03,1.19,null
SMAR,2023-04-27 09:17:39.704,46.0657201,11.0969792,308.48,352.28,1.2,null
STON,2023-04-27 09:17:39.704,46.0657267785,11.096974829833334,-1.325007,278.17310299999997,0.06642,1
SMAR,2023-04-27 09:17:39.734,46.065715,11.096982,308.54,352.41,1.21,null
SMAR,2023-04-27 09:17:39.768,46.065715,11.096982,308.56,352.47,1.29,null
