Android_time,Smartphone_gnss_time,Delta_Android-GNSS
2023-04-27 09:17:39.241,2023-04-27 09:17:39.133,108
2023-04-27 09:17:39.704,2023-04-27 09:17:39.634,70
2023-04-27 09:17:40.0,2023-04-27 09:17:39.934,66
2023-04-27 09:17:40.2,2023-04-27 09:17:40.134,66
2023-04-27 09:17:41.209,2023-04-27 09:17:41.134,75
2023-04-27 09:17:42.236,2023-04-27 09:17:42.134,102
2023-04-27 09:17:43.273,2023-04-27 09:17:43.133,140
2023-04-27 09:17:44.206,2023-04-27 09:17:44.134,72
2023-04-27 09:17:44.945,2023-04-27 09:17:44.861,84
2023-04-27 09:17:45.248,2023-04-27 09:17:45.134,114
2023-04-27 09:17:46.248,2023-04-27 09:17:46.133,115
2023-04-27 09:17:47.239,2023-04-27 09:17:47.133,106
2023-04-27 09:17:48.228,2023-04-27 09:17:48.133,95
2023-04-27 09:17:49.205,2023-04-27 09:17:49.133,72
2023-04-27 09:17:49.869,2023-04-27 09:17:49.8,69
2023-04-27 09:17:50.23,2023-04-27 09:17:50.133,97
2023-04-27 09:17:51.242,2023-04-27 09:17:51.133,109
2023-04-27 09:17:52.233,2023-04-27 09:17:52.134,99
2023-04-27 09:17:53.195,2023-04-27 09:17:53.134,61
2023-04-27 09:17:54.205,2023-04-27 09:17:54.134,71
2023-04-27 09:17:55.066,2023-04-27 09:17:54.99,76
2023-04-27 09:17:55.197,2023-04-27 09:17:55.134,63
2023-04-27 09:17:56.206,2023-04-27 09:17:56.133,73
2023-04-27 09:17:57.233,2023-04-27 09:17:57.134,99
2023-04-27 09:17:58.202,2023-04-27 09:17:58.133,69
2023-04-27 09:17:59.252,2023-04-27 09:17:59.133,119
2023-04-27 09:17:59.981,2023-04-27 09:17:59.919,62
2023-04-27 09:18:00.244,2023-04-27 09:18:00.133,111
2023-04-27 09:18:01.207,2023-04-27 09:18:01.134,73
2023-04-27 09:18:02.292,2023-04-27 09:18:02.134,158
2023-04-27 09:18:03.216,2023-04-27 09:18:03.133,83
2023-04-27 09:18:04.233,2023-04-27 09:18:04.133,100
2023-04-27 09:18:05.098,2023-04-27 09:18:05.017,81
2023-04-27 09:18:05.229,2023-04-27 09:18:05.134,95
2023-04-27 09:18:06.203,2023-04-27 09:18:06.133,70
2023-04-27 09:18:07.237,2023-04-27 09:18:07.133,104
