Android_time,Stonex_gnss_time,Delta_Android-Stonex,Stonex_status
2023-05-03 15:09:35.175,2023-05-03 15:09:35.4,-225,2
2023-05-03 15:09:35.26,2023-05-03 15:09:35.6,-340,2
2023-05-03 15:09:35.325,2023-05-03 15:09:35.6,-275,2
2023-05-03 15:09:35.424,2023-05-03 15:09:35.8,-376,2
2023-05-03 15:09:35.524,2023-05-03 15:09:35.8,-276,2
2023-05-03 15:09:35.726,2023-05-03 15:09:36.0,-274,2
2023-05-03 15:09:35.763,2023-05-03 15:09:36.0,-237,2
2023-05-03 15:09:35.826,2023-05-03 15:09:36.2,-374,2
2023-05-03 15:09:36.064,2023-05-03 15:09:36.4,-336,2
2023-05-03 15:09:36.558,2023-05-03 15:09:36.4,158,2
2023-05-03 15:09:36.657,2023-05-03 15:09:36.6,57,2
2023-05-03 15:09:36.657,2023-05-03 15:09:36.6,57,2
2023-05-03 15:09:36.657,2023-05-03 15:09:36.8,-143,2
2023-05-03 15:09:36.657,2023-05-03 15:09:36.8,-143,2
2023-05-03 15:09:36.723,2023-05-03 15:09:37.0,-277,2
2023-05-03 15:09:36.723,2023-05-03 15:09:37.0,-277,2
2023-05-03 15:09:36.857,2023-05-03 15:09:37.2,-343,2
2023-05-03 15:09:36.925,2023-05-03 15:09:37.2,-275,2
2023-05-03 15:09:37.027,2023-05-03 15:09:37.4,-373,2
2023-05-03 15:09:37.26,2023-05-03 15:09:37.6,-340,2
2023-05-03 15:09:37.327,2023-05-03 15:09:37.6,-273,2
2023-05-03 15:09:37.428,2023-05-03 15:09:37.8,-372,2
2023-05-03 15:09:37.563,2023-05-03 15:09:37.8,-237,2
2023-05-03 15:09:37.726,2023-05-03 15:09:38.0,-274,2
2023-05-03 15:09:37.77,2023-05-03 15:09:38.0,-230,2
2023-05-03 15:09:37.897,2023-05-03 15:09:38.2,-303,2
2023-05-03 15:09:37.933,2023-05-03 15:09:38.2,-267,2
2023-05-03 15:09:38.063,2023-05-03 15:09:38.4,-337,2
2023-05-03 15:09:38.132,2023-05-03 15:09:38.4,-268,2
2023-05-03 15:09:38.297,2023-05-03 15:09:38.6,-303,2
2023-05-03 15:09:38.396,2023-05-03 15:09:38.6,-204,2
2023-05-03 15:09:38.463,2023-05-03 15:09:38.8,-337,2
2023-05-03 15:09:38.531,2023-05-03 15:09:38.8,-269,2
2023-05-03 15:09:38.699,2023-05-03 15:09:39.0,-301,2
2023-05-03 15:09:38.699,2023-05-03 15:09:39.0,-301,2
2023-05-03 15:09:38.864,2023-05-03 15:09:39.2,-336,2
2023-05-03 15:09:38.9,2023-05-03 15:09:39.2,-300,2
2023-05-03 15:09:39.033,2023-05-03 15:09:39.4,-367,2
2023-05-03 15:09:39.168,2023-05-03 15:09:39.4,-232,2
2023-05-03 15:09:39.334,2023-05-03 15:09:39.6,-266,2
2023-05-03 15:09:39.334,2023-05-03 15:09:39.6,-266,2
2023-05-03 15:09:39.432,2023-05-03 15:09:39.8,-368,2
2023-05-03 15:09:39.74,2023-05-03 15:09:40.0,-260,2
2023-05-03 15:09:39.775,2023-05-03 15:09:40.0,-225,2
2023-05-03 15:09:39.873,2023-05-03 15:09:40.2,-327,2
2023-05-03 15:09:39.934,2023-05-03 15:09:40.2,-266,2
2023-05-03 15:09:40.035,2023-05-03 15:09:40.4,-365,2
2023-05-03 15:09:40.134,2023-05-03 15:09:40.4,-266,2
2023-05-03 15:09:40.267,2023-05-03 15:09:40.6,-333,2
2023-05-03 15:09:40.335,2023-05-03 15:09:40.6,-265,2
2023-05-03 15:09:40.468,2023-05-03 15:09:40.8,-332,2
2023-05-03 15:09:40.869,2023-05-03 15:09:41.0,-131,2
2023-05-03 15:09:40.869,2023-05-03 15:09:41.0,-131,2
2023-05-03 15:09:40.869,2023-05-03 15:09:41.2,-331,2
2023-05-03 15:09:40.972,2023-05-03 15:09:41.2,-228,2
2023-05-03 15:09:41.106,2023-05-03 15:09:41.4,-294,2
2023-05-03 15:09:41.137,2023-05-03 15:09:41.4,-263,2
2023-05-03 15:09:41.304,2023-05-03 15:09:41.6,-296,2
2023-05-03 15:09:41.47,2023-05-03 15:09:41.8,-330,2
2023-05-03 15:09:41.58,2023-05-03 15:09:41.8,-220,2
2023-05-03 15:09:41.938,2023-05-03 15:09:42.0,-62,2
2023-05-03 15:09:41.938,2023-05-03 15:09:42.0,-62,2
2023-05-03 15:09:42.007,2023-05-03 15:09:42.2,-193,2
2023-05-03 15:09:42.007,2023-05-03 15:09:42.2,-193,2
2023-05-03 15:09:42.074,2023-05-03 15:09:42.4,-326,2
2023-05-03 15:09:42.174,2023-05-03 15:09:42.4,-226,2
2023-05-03 15:09:42.238,2023-05-03 15:09:42.6,-362,2
2023-05-03 15:09:42.376,2023-05-03 15:09:42.6,-224,2
2023-05-03 15:09:42.511,2023-05-03 15:09:42.8,-289,2
2023-05-03 15:09:42.737,2023-05-03 15:09:43.0,-263,2
2023-05-03 15:09:42.737,2023-05-03 15:09:43.0,-263,2
2023-05-03 15:09:42.88,2023-05-03 15:09:43.2,-320,2
2023-05-03 15:09:42.979,2023-05-03 15:09:43.2,-221,2
2023-05-03 15:09:43.078,2023-05-03 15:09:43.4,-322,2
2023-05-03 15:09:43.174,2023-05-03 15:09:43.4,-226,2
2023-05-03 15:09:43.284,2023-05-03 15:09:43.6,-316,2
2023-05-03 15:09:43.38,2023-05-03 15:09:43.6,-220,2
2023-05-03 15:09:43.456,2023-05-03 15:09:43.8,-344,2
2023-05-03 15:09:43.546,2023-05-03 15:09:43.8,-254,2
2023-05-03 15:09:43.777,2023-05-03 15:09:44.0,-223,2
2023-05-03 15:09:43.777,2023-05-03 15:09:44.0,-223,2
2023-05-03 15:09:43.845,2023-05-03 15:09:44.2,-355,2
2023-05-03 15:09:43.979,2023-05-03 15:09:44.2,-221,2
2023-05-03 15:09:44.115,2023-05-03 15:09:44.4,-285,2
2023-05-03 15:09:44.183,2023-05-03 15:09:44.4,-217,2
