Input,Time,Latitude,Longitude,Altitude,Pitch,Yaw,Roll,Stonex_status
SMAR,2023-05-09 16:58:12.598,46.0898033,11.1155983,244.89999389648438,-4.9,-155.88,-0.31,null
SMAR,2023-05-09 16:58:12.617,46.0898033,11.1155983,244.89999389648438,-4.89,-155.86,-0.3,null
STON,2023-05-09 16:58:12.617,46.089802248333335,11.11562372,198.303,-4.362865,-40.58802,-0.411021,2
SMAR,2023-05-09 16:58:12.659,46.0898033,11.1155983,244.89999389648438,-4.88,-155.82,-0.29,null
SMAR,2023-05-09 16:58:12.693,46.0898033,11.1155983,244.89999389648438,-4.87,-155.74,-0.29,null
SMAR,2023-05-09 16:58:12.726,46.0898033,11.1155983,244.89999389648438,-4.86,-155.68,-0.29,null
SMAR,2023-05-09 16:58:12.762,46.0898033,11.1155983,244.89999389648438,-4.84,-155.63,-0.29,null
SMAR,2023-05-09 16:58:12.793,46.0898033,11.1155983,244.89999389648438,-4.82,-155.58,-0.3,null
STON,2023-05-09 16:58:12.793,46.089802211666665,11.115623715,198.306,-4.362865,-40.58802,-0.411021,2
SMAR,2023-05-09 16:58:12.826,46.0898033,11.1155983,244.89999389648438,-4.81,-155.5,-0.3,null
SMAR,2023-05-09 16:58:12.859,46.0898033,11.1155983,244.89999389648438,-4.81,-155.4,-0.3,null
STON,2023-05-09 16:58:12.859,46.089802211666665,11.115623715,198.306,-4.272556,-40.889225,-0.428503,2
SMAR,2023-05-09 16:58:12.897,46.0898033,11.1155983,244.89999389648438,-4.81,-155.33,-0.32,null
SMAR,2023-05-09 16:58:12.924,46.0898033,11.1155983,244.89999389648438,-4.81,-155.3,-0.32,null
SMAR,2023-05-09 16:58:12.948,46.0898033,11.1155983,244.89999389648438,-4.81,-155.31,-0.32,null
SMAR,2023-05-09 16:58:12.99,46.0898033,11.1155983,244.89999389648438,-4.82,-155.37,-0.32,null
SMAR,2023-05-09 16:58:13.024,46.0898033,11.1155983,244.89999389648438,-4.83,-155.46,-0.32,null
STON,2023-05-09 16:58:13.024,46.08980221833333,11.115623706666666,198.306,-4.272556,-40.889225,-0.428503,2
STON,2023-05-09 16:58:13.024,46.08980221833333,11.115623706666666,198.306,-4.274655,-41.076935,-0.411593,2
SMAR,2023-05-09 16:58:13.056,46.0898033,11.1155983,244.89999389648438,-4.84,-155.54,-0.31,null
SMAR,2023-05-09 16:58:13.091,46.0898033,11.1155983,244.89999389648438,-4.86,-155.61,-0.31,null
