Input,Time,Latitude,Longitude,Altitude,Pitch,Yaw,Roll,Stonex_status
SMAR,2023-05-09 17:15:55.336,46.0898234,11.1155436,244.89999389648438,-11.17,-73.97,0.84,null
SMAR,2023-05-09 17:15:55.369,46.0898234,11.1155436,244.89999389648438,-11.19,-73.89,0.82,null
STON,2023-05-09 17:15:55.369,46.089760535,11.115524808333333,198.26,-10.691818,-1.929142,-0.842404,2
SMAR,2023-05-09 17:15:55.402,46.0898234,11.1155436,244.89999389648438,-11.22,-73.93,0.82,null
SMAR,2023-05-09 17:15:55.432,46.0898234,11.1155436,244.89999389648438,-11.25,-73.91,0.81,null
SMAR,2023-05-09 17:15:55.463,46.0898234,11.1155436,244.89999389648438,-11.28,-73.83,0.78,null
STON,2023-05-09 17:15:55.463,46.089760535,11.115524808333333,198.26,-10.712424,-1.641561,-0.917443,2
SMAR,2023-05-09 17:15:55.5,46.0898234,11.1155436,244.89999389648438,-11.3,-73.81,0.78,null
SMAR,2023-05-09 17:15:55.532,46.0898234,11.1155436,244.89999389648438,-11.32,-73.85,0.79,null
SMAR,2023-05-09 17:15:55.565,46.0898234,11.1155436,244.89999389648438,-11.36,-73.79,0.78,null
STON,2023-05-09 17:15:55.565,46.089760565,11.115524818333334,198.26,-10.712424,-1.641561,-0.917443,2
SMAR,2023-05-09 17:15:55.598,46.0898234,11.1155436,244.89999389648438,-11.38,-73.71,0.76,null
SMAR,2023-05-09 17:15:55.632,46.0898234,11.1155436,244.89999389648438,-11.42,-73.67,0.74,null
STON,2023-05-09 17:15:55.632,46.089760565,11.115524818333334,198.26,-10.869088,-1.526051,-0.967361,2
SMAR,2023-05-09 17:15:55.664,46.0898234,11.1155436,244.89999389648438,-11.46,-73.62,0.73,null
SMAR,2023-05-09 17:15:55.697,46.0898234,11.1155436,244.89999389648438,-11.5,-73.54,0.71,null
SMAR,2023-05-09 17:15:55.731,46.0898234,11.1155436,244.89999389648438,-11.54,-73.45,0.69,null
SMAR,2023-05-09 17:15:55.765,46.0898234,11.1155436,244.89999389648438,-11.59,-73.38,0.68,null
STON,2023-05-09 17:15:55.765,46.089760616666666,11.11552483,198.26,-10.869088,-1.526051,-0.967361,2
SMAR,2023-05-09 17:15:55.798,46.0898234,11.1155436,244.89999389648438,-11.63,-73.33,0.68,null
SMAR,2023-05-09 17:15:55.83,46.0898234,11.1155436,244.89999389648438,-11.68,-73.24,0.67,null
STON,2023-05-09 17:15:55.83,46.089760616666666,11.11552483,198.26,-11.096369,-1.072838,-1.07209,2
SMAR,2023-05-09 17:15:55.864,46.0898234,11.1155436,244.89999389648438,-11.72,-73.14,0.65,null
SMAR,2023-05-09 17:15:55.898,46.0898234,11.1155436,244.89999389648438,-11.76,-73.05,0.64,null
SMAR,2023-05-09 17:15:55.935,46.0898234,11.1155436,244.89999389648438,-11.81,-72.96,0.63,null
SMAR,2023-05-09 17:15:55.967,46.0898234,11.1155436,244.89999389648438,-11.86,-72.92,0.62,null
SMAR,2023-05-09 17:15:55.999,46.0898233,11.1155434,244.89999389648438,-11.92,-72.98,0.64,null
SMAR,2023-05-09 17:15:56.033,46.0898233,11.1155434,244.89999389648438,-11.98,-73.0,0.65,null
SMAR,2023-05-09 17:15:56.065,46.0898233,11.1155434,244.89999389648438,-12.04,-72.99,0.64,null
STON,2023-05-09 17:15:56.065,46.089760676666664,11.115524841666666,198.253,-11.096369,-1.072838,-1.07209,2
STON,2023-05-09 17:15:56.065,46.089760676666664,11.115524841666666,198.253,-11.368176,-0.581384,-1.133538,2
SMAR,2023-05-09 17:15:56.099,46.0898233,11.1155434,244.89999389648438,-12.11,-73.05,0.65,null
SMAR,2023-05-09 17:15:56.134,46.0898233,11.1155434,244.89999389648438,-12.16,-73.11,0.68,null
SMAR,2023-05-09 17:15:56.165,46.0898233,11.1155434,244.89999389648438,-12.21,-73.07,0.7,null
SMAR,2023-05-09 17:15:56.199,46.0898233,11.1155434,244.89999389648438,-12.24,-72.97,0.69,null
STON,2023-05-09 17:15:56.199,46.08976073833333,11.11552485,198.251,-11.368176,-0.581384,-1.133538,2
SMAR,2023-05-09 17:15:56.233,46.0898233,11.1155434,244.89999389648438,-12.26,-72.91,0.68,null
SMAR,2023-05-09 17:15:56.267,46.0898233,11.1155434,244.89999389648438,-12.27,-72.86,0.67,null
STON,2023-05-09 17:15:56.267,46.08976073833333,11.11552485,198.251,-11.709364,-0.730773,-1.076628,2
SMAR,2023-05-09 17:15:56.3,46.0898233,11.1155434,244.89999389648438,-12.26,-72.83,0.68,null
SMAR,2023-05-09 17:15:56.336,46.0898233,11.1155434,244.89999389648438,-12.24,-72.8,0.71,null
SMAR,2023-05-09 17:15:56.368,46.0898233,11.1155434,244.89999389648438,-12.2,-72.73,0.74,null
STON,2023-05-09 17:15:56.368,46.08976076166667,11.115524883333332,198.255,-11.709364,-0.730773,-1.076628,2
SMAR,2023-05-09 17:15:56.4,46.0898233,11.1155434,244.89999389648438,-12.16,-72.69,0.79,null
SMAR,2023-05-09 17:15:56.437,46.0898233,11.1155434,244.89999389648438,-12.13,-72.68,0.84,null
STON,2023-05-09 17:15:56.437,46.08976076166667,11.115524883333332,198.255,-11.721462,-0.402098,-1.019057,2
SMAR,2023-05-09 17:15:56.468,46.0898233,11.1155434,244.89999389648438,-12.1,-72.66,0.89,null
SMAR,2023-05-09 17:15:56.504,46.0898233,11.1155434,244.89999389648438,-12.09,-72.52,0.9,null
SMAR,2023-05-09 17:15:56.535,46.0898233,11.1155434,244.89999389648438,-12.09,-72.3,0.9,null
STON,2023-05-09 17:15:56.535,46.089760786666666,11.115524973333333,198.262,-11.721462,-0.402098,-1.019057,2
SMAR,2023-05-09 17:15:56.569,46.0898233,11.1155434,244.89999389648438,-12.1,-72.08,0.9,null
SMAR,2023-05-09 17:15:56.602,46.0898233,11.1155434,244.89999389648438,-12.12,-71.88,0.9,null
SMAR,2023-05-09 17:15:56.638,46.0898233,11.1155434,244.89999389648438,-12.16,-71.7,0.92,null
STON,2023-05-09 17:15:56.638,46.089760786666666,11.115524973333333,198.262,-11.603158,0.209124,-0.859218,2
SMAR,2023-05-09 17:15:56.671,46.0898233,11.1155434,244.89999389648438,-12.2,-71.57,0.94,null
SMAR,2023-05-09 17:15:56.704,46.0898233,11.1155434,244.89999389648438,-12.25,-71.49,0.97,null
SMAR,2023-05-09 17:15:56.733,46.0898233,11.1155434,244.89999389648438,-12.29,-71.45,1.0,null
STON,2023-05-09 17:15:56.733,46.089760901666665,11.115525075,198.305,-11.603158,0.209124,-0.859218,2
SMAR,2023-05-09 17:15:56.768,46.0898233,11.1155434,244.89999389648438,-12.33,-71.37,1.01,null
SMAR,2023-05-09 17:15:56.804,46.0898233,11.1155434,244.89999389648438,-12.36,-71.25,1.02,null
SMAR,2023-05-09 17:15:56.834,46.0898233,11.1155434,244.89999389648438,-12.39,-71.13,1.02,null
SMAR,2023-05-09 17:15:56.866,46.0898233,11.1155434,244.89999389648438,-12.4,-70.99,1.01,null
SMAR,2023-05-09 17:15:56.9,46.0898233,11.1155434,244.89999389648438,-12.42,-70.85,1.01,null
STON,2023-05-09 17:15:56.9,46.089760901666665,11.115525075,198.305,-11.840371,0.927068,-0.735205,2
SMAR,2023-05-09 17:15:56.936,46.0898233,11.1155434,244.89999389648438,-12.43,-70.75,1.02,null
SMAR,2023-05-09 17:15:56.966,46.0898233,11.1155434,244.89999389648438,-12.43,-70.66,1.02,null
SMAR,2023-05-09 17:15:57.003,46.0898233,11.1155434,244.89999389648438,-12.43,-70.53,1.03,null
SMAR,2023-05-09 17:15:57.033,46.0898233,11.1155434,244.89999389648438,-12.43,-70.42,1.04,null
SMAR,2023-05-09 17:15:57.069,46.0898233,11.1155434,244.89999389648438,-12.41,-70.26,1.06,null
STON,2023-05-09 17:15:57.069,46.08976098,11.115525086666667,198.303,-11.840371,0.927068,-0.735205,2
SMAR,2023-05-09 17:15:57.1,46.0898233,11.1155434,244.89999389648438,-12.39,-70.06,1.07,null
STON,2023-05-09 17:15:57.1,46.08976098,11.115525086666667,198.303,-11.948129,1.633607,-0.711796,2
SMAR,2023-05-09 17:15:57.134,46.0898233,11.1155434,244.89999389648438,-12.36,-69.88,1.09,null
SMAR,2023-05-09 17:15:57.17,46.0898233,11.1155434,244.89999389648438,-12.33,-69.64,1.1,null
STON,2023-05-09 17:15:57.17,46.08976112166667,11.115525011666668,198.315,-11.948129,1.633607,-0.711796,2
SMAR,2023-05-09 17:15:57.201,46.0898233,11.1155434,244.89999389648438,-12.29,-69.36,1.11,null
SMAR,2023-05-09 17:15:57.236,46.0898233,11.1155434,244.89999389648438,-12.25,-69.05,1.11,null
STON,2023-05-09 17:15:57.236,46.08976112166667,11.115525011666668,198.315,-11.864853,2.607817,-0.632472,2
SMAR,2023-05-09 17:15:57.268,46.0898233,11.1155434,244.89999389648438,-12.19,-68.69,1.11,null
SMAR,2023-05-09 17:15:57.302,46.0898233,11.1155434,244.89999389648438,-12.13,-68.31,1.12,null
SMAR,2023-05-09 17:15:57.335,46.0898233,11.1155434,244.89999389648438,-12.05,-67.91,1.15,null
SMAR,2023-05-09 17:15:57.369,46.0898233,11.1155434,244.89999389648438,-11.96,-67.58,1.19,null
SMAR,2023-05-09 17:15:57.402,46.0898233,11.1155434,244.89999389648438,-11.87,-67.33,1.26,null
STON,2023-05-09 17:15:57.402,46.089761368333335,11.115524846666666,198.325,-11.864853,2.607817,-0.632472,2
SMAR,2023-05-09 17:15:57.436,46.0898233,11.1155434,244.89999389648438,-11.77,-67.0,1.32,null
STON,2023-05-09 17:15:57.436,46.089761368333335,11.115524846666666,198.325,-11.513277,4.658807,-0.54929,2
SMAR,2023-05-09 17:15:57.469,46.0898233,11.1155434,244.89999389648438,-11.67,-66.44,1.34,null
SMAR,2023-05-09 17:15:57.505,46.0898233,11.1155434,244.89999389648438,-11.55,-65.66,1.33,null
SMAR,2023-05-09 17:15:57.535,46.0898233,11.1155434,244.89999389648438,-11.44,-64.86,1.32,null
SMAR,2023-05-09 17:15:57.571,46.0898233,11.1155434,244.89999389648438,-11.32,-64.26,1.38,null
