Input,Time,Latitude,Longitude,Pitch,Yaw,Roll,Status
SMAR,2023-04-04 12:36:13:791 GMT+02:00 2023,46.0898439,11.115696,0.0,0.0,0.0,null
STON,2023-04-04 12:36:13:829 GMT+02:00 2023,46.08980138,11.115510648333334,3.274447,116.28373,-0.984687,1
STON,2023-04-04 12:36:14:060 GMT+02:00 2023,46.08980138,11.115510648333334,3.293248,116.486992,-1.08327,1
STON,2023-04-04 12:36:14:137 GMT+02:00 2023,46.08980138,11.115510648333334,3.326472,116.450485,-1.008017,1
SMAR,2023-04-04 12:36:14:538 GMT+02:00 2023,46.0898439,11.115696,0.0,0.0,0.0,null
STON,2023-04-04 12:36:14:546 GMT+02:00 2023,46.08980138,11.115510648333334,3.233201,116.017746,-0.87922,1
SMAR,2023-04-04 12:36:14:576 GMT+02:00 2023,46.0898439,11.115696,0.0,0.0,0.0,null
SMAR,2023-04-04 12:36:14:606 GMT+02:00 2023,46.0898439,11.115696,0.0,0.0,0.0,null
SMAR,2023-04-04 12:36:14:640 GMT+02:00 2023,46.0898439,11.115696,0.0,0.0,0.0,null
SMAR,2023-04-04 12:36:14:672 GMT+02:00 2023,46.0898439,11.115696,0.0,0.0,0.0,null
SMAR,2023-04-04 12:36:14:706 GMT+02:00 2023,46.0898439,11.115696,0.0,0.0,0.0,null
STON,2023-04-04 12:36:14:712 GMT+02:00 2023,46.08980138,11.115510648333334,3.156914,116.177574,-0.835303,1
SMAR,2023-04-04 12:36:14:740 GMT+02:00 2023,46.0898439,11.115696,0.0,0.0,0.0,null
SMAR,2023-04-04 12:36:14:770 GMT+02:00 2023,46.0898439,11.115696,0.0,0.0,0.0,null
SMAR,2023-04-04 12:36:14:802 GMT+02:00 2023,46.0898439,11.115696,0.0,0.0,0.0,null
SMAR,2023-04-04 12:36:14:836 GMT+02:00 2023,46.0898439,11.115696,0.0,0.0,0.0,null
STON,2023-04-04 12:36:14:846 GMT+02:00 2023,46.08980139166667,11.115510646666667,3.156914,116.177574,-0.835303,1
STON,2023-04-04 12:36:14:854 GMT+02:00 2023,46.08980139166667,11.115510646666667,3.156914,116.177574,-0.835303,1
SMAR,2023-04-04 12:36:14:870 GMT+02:00 2023,46.0898439,11.115696,0.0,0.0,0.0,null
SMAR,2023-04-04 12:36:14:902 GMT+02:00 2023,46.0898439,11.115696,0.0,0.0,0.0,null
STON,2023-04-04 12:36:14:907 GMT+02:00 2023,46.08980139166667,11.115510646666667,3.044761,116.345039,-0.787838,1
SMAR,2023-04-04 12:36:14:943 GMT+02:00 2023,46.0898439,11.115696,0.0,0.0,0.0,null
SMAR,2023-04-04 12:36:14:974 GMT+02:00 2023,46.0898439,11.115696,272.03,89.44,77.26,null
SMAR,2023-04-04 12:36:15:006 GMT+02:00 2023,46.0898439,11.115696,272.86,88.86,77.59,null
SMAR,2023-04-04 12:36:15:041 GMT+02:00 2023,46.0898439,11.115696,272.67,88.98,77.7,null
SMAR,2023-04-04 12:36:15:076 GMT+02:00 2023,46.0898439,11.115696,272.83,88.81,77.7,null
SMAR,2023-04-04 12:36:15:110 GMT+02:00 2023,46.0898439,11.115696,273.11,88.49,77.7,null
STON,2023-04-04 12:36:15:118 GMT+02:00 2023,46.08980139166667,11.115510646666667,2.930929,116.534348,-0.740774,1
SMAR,2023-04-04 12:36:15:154 GMT+02:00 2023,46.0898439,11.115696,272.77,88.68,77.99,null
SMAR,2023-04-04 12:36:15:189 GMT+02:00 2023,46.0898439,11.115696,272.65,88.74,77.99,null
SMAR,2023-04-04 12:36:15:223 GMT+02:00 2023,46.0898439,11.115696,272.52,88.85,78.03,null
SMAR,2023-04-04 12:36:15:250 GMT+02:00 2023,46.0898439,11.115696,272.44,88.92,77.91,null
SMAR,2023-04-04 12:36:15:285 GMT+02:00 2023,46.0898439,11.115696,272.43,88.91,77.97,null
SMAR,2023-04-04 12:36:15:317 GMT+02:00 2023,46.0898439,11.115696,272.24,89.04,78.01,null
SMAR,2023-04-04 12:36:15:353 GMT+02:00 2023,46.0898439,11.115696,271.68,89.47,77.83,null
STON,2023-04-04 12:36:15:363 GMT+02:00 2023,46.08980139166667,11.115510646666667,2.813171,116.452118,-0.699862,1
SMAR,2023-04-04 12:36:15:387 GMT+02:00 2023,46.0898439,11.115696,271.23,89.73,77.77,null
SMAR,2023-04-04 12:36:15:420 GMT+02:00 2023,46.0898439,11.115696,271.09,89.66,77.68,null
SMAR,2023-04-04 12:36:15:458 GMT+02:00 2023,46.0898439,11.115696,268.98,91.42,77.89,null
SMAR,2023-04-04 12:36:15:495 GMT+02:00 2023,46.0898439,11.115696,264.17,95.79,77.92,null
SMAR,2023-04-04 12:36:15:525 GMT+02:00 2023,46.0898439,11.115696,260.84,98.8,77.62,null
STON,2023-04-04 12:36:15:535 GMT+02:00 2023,46.08980139166667,11.115510646666667,2.755401,116.352638,-0.689354,1
SMAR,2023-04-04 12:36:15:559 GMT+02:00 2023,46.0898439,11.115696,260.22,99.21,77.28,null
SMAR,2023-04-04 12:36:15:592 GMT+02:00 2023,46.0898439,11.115696,260.1,98.92,76.62,null
SMAR,2023-04-04 12:36:15:629 GMT+02:00 2023,46.0898439,11.115696,260.34,98.46,76.23,null
SMAR,2023-04-04 12:36:15:660 GMT+02:00 2023,46.0898439,11.115696,260.87,97.69,76.44,null
SMAR,2023-04-04 12:36:15:695 GMT+02:00 2023,46.0898439,11.115696,262.31,96.01,77.3,null
SMAR,2023-04-04 12:36:15:726 GMT+02:00 2023,46.0898439,11.115696,263.1,94.61,78.51,null
SMAR,2023-04-04 12:36:15:759 GMT+02:00 2023,46.0898439,11.115696,262.25,94.93,79.16,null
STON,2023-04-04 12:36:15:767 GMT+02:00 2023,46.08980139166667,11.115510646666667,2.653425,115.233437,-0.676095,1
STON,2023-04-04 12:36:15:770 GMT+02:00 2023,46.089801308333335,11.11551074,2.653425,115.233437,-0.676095,1
STON,2023-04-04 12:36:15:773 GMT+02:00 2023,46.089801308333335,11.11551074,2.653425,115.233437,-0.676095,1
SMAR,2023-04-04 12:36:15:804 GMT+02:00 2023,46.0898439,11.115696,262.33,94.6,79.6,null
SMAR,2023-04-04 12:36:15:823 GMT+02:00 2023,46.0898439,11.115696,262.08,94.88,80.25,null
SMAR,2023-04-04 12:36:15:854 GMT+02:00 2023,46.0898439,11.115696,260.57,96.88,80.25,null
