Input,Time,Latitude,Longitude,Pitch,Yaw,Roll,Stonex_status
SMAR,2023-05-02 16:50:07.186,46.0898,11.115505,-2.66,-41.68,1.65,null
STON,2023-05-02 16:50:07.186,46.089815396666665,11.115563346666667,-2.394336,-111.863098,-0.419321,2
STON,2023-05-02 16:50:07.186,46.089815396666665,11.115563346666667,-2.373485,-111.902199,-0.461676,2
SMAR,2023-05-02 16:50:07.23,46.0898,11.115505,-2.65,-41.66,1.65,null
SMAR,2023-05-02 16:50:07.254,46.0898,11.115505,-2.65,-41.66,1.65,null
SMAR,2023-05-02 16:50:07.299,46.0898,11.115505,-2.65,-41.68,1.66,null
SMAR,2023-05-02 16:50:07.328,46.0898,11.115505,-2.63,-41.71,1.67,null
SMAR,2023-05-02 16:50:07.351,46.0898,11.115505,-2.64,-41.74,1.67,null
STON,2023-05-02 16:50:07.351,46.089815405,11.11556336,-2.373485,-111.902199,-0.461676,2
SMAR,2023-05-02 16:50:07.388,46.0898,11.115505,-2.64,-41.73,1.67,null
SMAR,2023-05-02 16:50:07.417,46.0898,11.115505,-2.63,-41.68,1.67,null
SMAR,2023-05-02 16:50:07.448,46.0898,11.115505,-2.63,-41.65,1.66,null
STON,2023-05-02 16:50:07.448,46.089815405,11.11556336,-2.343211,-111.906616,-0.447938,2
SMAR,2023-05-02 16:50:07.48,46.0898,11.115505,-2.65,-41.68,1.66,null
SMAR,2023-05-02 16:50:07.514,46.0898,11.115505,-2.65,-41.73,1.67,null
SMAR,2023-05-02 16:50:07.553,46.0898,11.115505,-2.66,-41.71,1.68,null
SMAR,2023-05-02 16:50:07.579,46.0898,11.115505,-2.67,-41.67,1.67,null
STON,2023-05-02 16:50:07.579,46.089815388333335,11.11556334,-2.343211,-111.906616,-0.447938,2
STON,2023-05-02 16:50:07.579,46.089815388333335,11.11556334,-2.363354,-111.923805,-0.453803,2
SMAR,2023-05-02 16:50:07.613,46.0898,11.115505,-2.69,-41.62,1.66,null
SMAR,2023-05-02 16:50:07.646,46.0898,11.115505,-2.69,-41.6,1.65,null
SMAR,2023-05-02 16:50:07.677,46.0898,11.115505,-2.69,-41.59,1.64,null
SMAR,2023-05-02 16:50:07.711,46.0898,11.115505,-2.69,-41.59,1.64,null
SMAR,2023-05-02 16:50:07.742,46.0898,11.115505,-2.68,-41.59,1.62,null
STON,2023-05-02 16:50:07.742,46.08981535833333,11.115563326666667,-2.363354,-111.923805,-0.453803,2
SMAR,2023-05-02 16:50:07.778,46.0898,11.115505,-2.67,-41.59,1.61,null
STON,2023-05-02 16:50:07.778,46.08981535833333,11.115563326666667,-2.396116,-111.802361,-0.498404,2
SMAR,2023-05-02 16:50:07.812,46.0898,11.115505,-2.64,-41.63,1.59,null
SMAR,2023-05-02 16:50:07.848,46.0898,11.115505,-2.62,-41.7,1.59,null
SMAR,2023-05-02 16:50:07.889,46.0898,11.115505,-2.61,-41.74,1.57,null
SMAR,2023-05-02 16:50:07.925,46.0898,11.115505,-2.58,-41.74,1.55,null
SMAR,2023-05-02 16:50:07.953,46.0898,11.115505,-2.57,-41.71,1.54,null
STON,2023-05-02 16:50:07.953,46.08981536,11.11556338,-2.396116,-111.802361,-0.498404,2
SMAR,2023-05-02 16:50:07.991,46.0898,11.115505,-2.55,-41.73,1.54,null
SMAR,2023-05-02 16:50:08.022,46.0898,11.115505,-2.53,-41.79,1.53,null
STON,2023-05-02 16:50:08.022,46.08981536,11.11556338,-2.291511,-111.940407,-0.581343,2
SMAR,2023-05-02 16:50:08.055,46.0898,11.115505,-2.52,-41.93,1.53,null
SMAR,2023-05-02 16:50:08.083,46.0898,11.115505,-2.53,-42.13,1.54,null
SMAR,2023-05-02 16:50:08.115,46.0898,11.115505,-2.56,-42.3,1.56,null
SMAR,2023-05-02 16:50:08.145,46.0898,11.115505,-2.58,-42.34,1.59,null
SMAR,2023-05-02 16:50:08.177,46.0898,11.115505,-2.61,-42.21,1.61,null
SMAR,2023-05-02 16:50:08.208,46.0898,11.115505,-2.63,-41.93,1.63,null
STON,2023-05-02 16:50:08.208,46.08981533666667,11.115563371666667,-2.291511,-111.940407,-0.581343,2
SMAR,2023-05-02 16:50:08.243,46.0898,11.115505,-2.63,-41.58,1.65,null
SMAR,2023-05-02 16:50:08.278,46.0898,11.115505,-2.63,-41.33,1.67,null
SMAR,2023-05-02 16:50:08.31,46.0898,11.115505,-2.65,-41.21,1.69,null
STON,2023-05-02 16:50:08.31,46.08981533666667,11.115563371666667,-2.280303,-112.570724,-0.574073,2
SMAR,2023-05-02 16:50:08.346,46.0898,11.115505,-2.66,-41.18,1.71,null
STON,2023-05-02 16:50:08.346,46.089815395,11.115563346666667,-2.280303,-112.570724,-0.574073,2
SMAR,2023-05-02 16:50:08.377,46.0898,11.115505,-2.66,-41.21,1.75,null
SMAR,2023-05-02 16:50:08.407,46.0898,11.115505,-2.67,-41.26,1.79,null
SMAR,2023-05-02 16:50:08.443,46.0898,11.115505,-2.69,-41.29,1.83,null
SMAR,2023-05-02 16:50:08.479,46.0898,11.115505,-2.7,-41.25,1.87,null
STON,2023-05-02 16:50:08.479,46.089815395,11.115563346666667,-2.371751,-111.451317,-0.460114,2
SMAR,2023-05-02 16:50:08.53,46.0898,11.115505,-2.71,-41.12,1.9,null
SMAR,2023-05-02 16:50:08.546,46.0898,11.115505,-2.72,-40.94,1.91,null
SMAR,2023-05-02 16:50:08.578,46.0898,11.115505,-2.72,-40.76,1.9,null
SMAR,2023-05-02 16:50:08.609,46.0898,11.115505,-2.71,-40.6,1.89,null
STON,2023-05-02 16:50:08.609,46.08981543666667,11.115563296666666,-2.371751,-111.451317,-0.460114,2
SMAR,2023-05-02 16:50:08.651,46.0898,11.115505,-2.69,-40.51,1.87,null
SMAR,2023-05-02 16:50:08.679,46.0898,11.115505,-2.68,-40.48,1.85,null
SMAR,2023-05-02 16:50:08.714,46.0898,11.115505,-2.65,-40.48,1.84,null
SMAR,2023-05-02 16:50:08.747,46.0898,11.115505,-2.61,-40.52,1.81,null
STON,2023-05-02 16:50:08.747,46.08981542,11.115563333333334,-2.371751,-111.451317,-0.460114,2
SMAR,2023-05-02 16:50:08.779,46.0898,11.115505,-2.59,-40.58,1.79,null
SMAR,2023-05-02 16:50:08.81,46.0898,11.115505,-2.55,-40.66,1.77,null
STON,2023-05-02 16:50:08.81,46.08981542,11.115563333333334,-2.342147,-110.782761,-0.334352,2
SMAR,2023-05-02 16:50:08.844,46.0898,11.115505,-2.51,-40.76,1.75,null
SMAR,2023-05-02 16:50:08.877,46.0898,11.115505,-2.51,-40.83,1.74,null
SMAR,2023-05-02 16:50:08.914,46.0898,11.115505,-2.5,-40.81,1.71,null
SMAR,2023-05-02 16:50:08.946,46.0898,11.115505,-2.48,-40.68,1.7,null
STON,2023-05-02 16:50:08.946,46.08981540166667,11.115563398333334,-2.342147,-110.782761,-0.334352,2
