Android_time,Stonex_gnss_time,Delta_Android-Stonex,Stonex_status
2023-05-02 13:07:51.672,2023-05-02 13:07:52.0,-328,2
2023-05-02 13:07:51.706,2023-05-02 13:07:52.0,-294,2
2023-05-02 13:07:51.706,2023-05-02 13:07:52.2,-494,2
2023-05-02 13:07:51.804,2023-05-02 13:07:52.2,-396,2
2023-05-02 13:07:51.97,2023-05-02 13:07:52.4,-430,2
2023-05-02 13:07:52.036,2023-05-02 13:07:52.4,-364,2
2023-05-02 13:07:52.101,2023-05-02 13:07:52.6,-499,2
2023-05-02 13:07:52.202,2023-05-02 13:07:52.6,-398,2
2023-05-02 13:07:52.333,2023-05-02 13:07:52.8,-467,2
2023-05-02 13:07:52.366,2023-05-02 13:07:52.8,-434,2
2023-05-02 13:07:52.581,2023-05-02 13:07:53.0,-419,2
2023-05-02 13:07:52.647,2023-05-02 13:07:53.0,-353,2
2023-05-02 13:07:52.746,2023-05-02 13:07:53.2,-454,2
2023-05-02 13:07:52.846,2023-05-02 13:07:53.2,-354,2
2023-05-02 13:07:52.911,2023-05-02 13:07:53.4,-489,2
2023-05-02 13:07:53.046,2023-05-02 13:07:53.4,-354,2
2023-05-02 13:07:53.144,2023-05-02 13:07:53.6,-456,2
2023-05-02 13:07:53.278,2023-05-02 13:07:53.6,-322,2
2023-05-02 13:07:53.343,2023-05-02 13:07:53.8,-457,2
2023-05-02 13:07:53.408,2023-05-02 13:07:53.8,-392,2
2023-05-02 13:07:53.607,2023-05-02 13:07:54.0,-393,2
2023-05-02 13:07:53.707,2023-05-02 13:07:54.0,-293,2
2023-05-02 13:07:53.773,2023-05-02 13:07:54.2,-427,2
2023-05-02 13:07:53.805,2023-05-02 13:07:54.2,-395,2
2023-05-02 13:07:54.006,2023-05-02 13:07:54.4,-394,2
2023-05-02 13:07:54.006,2023-05-02 13:07:54.4,-394,2
2023-05-02 13:07:54.137,2023-05-02 13:07:54.6,-463,2
2023-05-02 13:07:54.22,2023-05-02 13:07:54.6,-380,2
2023-05-02 13:07:54.337,2023-05-02 13:07:54.8,-463,2
2023-05-02 13:07:54.468,2023-05-02 13:07:54.8,-332,2
2023-05-02 13:07:54.633,2023-05-02 13:07:55.0,-367,2
2023-05-02 13:07:54.633,2023-05-02 13:07:55.0,-367,2
2023-05-02 13:07:54.732,2023-05-02 13:07:55.2,-468,2
2023-05-02 13:07:54.835,2023-05-02 13:07:55.2,-365,2
2023-05-02 13:07:54.9,2023-05-02 13:07:55.4,-500,2
2023-05-02 13:07:55.05,2023-05-02 13:07:55.4,-350,2
2023-05-02 13:07:55.114,2023-05-02 13:07:55.6,-486,2
2023-05-02 13:07:55.214,2023-05-02 13:07:55.6,-386,2
2023-05-02 13:07:55.312,2023-05-02 13:07:55.8,-488,2
2023-05-02 13:07:55.444,2023-05-02 13:07:55.8,-356,2
2023-05-02 13:07:55.577,2023-05-02 13:07:56.0,-423,2
2023-05-02 13:07:55.618,2023-05-02 13:07:56.0,-382,2
2023-05-02 13:07:56.14,2023-05-02 13:07:56.2,-60,2
2023-05-02 13:07:56.14,2023-05-02 13:07:56.2,-60,2
2023-05-02 13:07:56.173,2023-05-02 13:07:56.4,-227,2
2023-05-02 13:07:56.207,2023-05-02 13:07:56.4,-193,2
2023-05-02 13:07:56.207,2023-05-02 13:07:56.6,-393,2
2023-05-02 13:07:56.207,2023-05-02 13:07:56.6,-393,2
2023-05-02 13:07:56.34,2023-05-02 13:07:56.8,-460,2
2023-05-02 13:07:56.44,2023-05-02 13:07:56.8,-360,2
2023-05-02 13:07:56.636,2023-05-02 13:07:57.0,-364,2
2023-05-02 13:07:56.636,2023-05-02 13:07:57.0,-364,2
2023-05-02 13:07:56.705,2023-05-02 13:07:57.2,-495,2
