Android_time,Stonex_gnss_time,ARCore_yaw,Stonex_yaw,Delta_yaw_AR_Ston
2023-05-02 16:50:07.186,2023-05-02 16:50:07.6,-41.68,-111.863098,70.18309769482421
2023-05-02 16:50:07.186,2023-05-02 16:50:07.6,-41.68,-111.902199,70.22219869482421
2023-05-02 16:50:07.351,2023-05-02 16:50:07.8,-41.74,-111.902199,70.1621973215332
2023-05-02 16:50:07.448,2023-05-02 16:50:07.8,-41.65,-111.906616,70.2566144741211
2023-05-02 16:50:07.579,2023-05-02 16:50:08.0,-41.67,-111.906616,70.23661783105469
2023-05-02 16:50:07.579,2023-05-02 16:50:08.0,-41.67,-111.923805,70.25380683105469
2023-05-02 16:50:07.742,2023-05-02 16:50:08.2,-41.59,-111.923805,70.33380484741211
2023-05-02 16:50:07.778,2023-05-02 16:50:08.2,-41.59,-111.802361,70.21236084741211
2023-05-02 16:50:07.953,2023-05-02 16:50:08.4,-41.71,-111.802361,70.09236191552735
2023-05-02 16:50:08.022,2023-05-02 16:50:08.4,-41.79,-111.940407,70.15040608447265
2023-05-02 16:50:08.208,2023-05-02 16:50:08.6,-41.93,-111.940407,70.01040669482421
2023-05-02 16:50:08.31,2023-05-02 16:50:08.6,-41.21,-112.570724,71.36072491552734
2023-05-02 16:50:08.346,2023-05-02 16:50:08.8,-41.18,-112.570724,71.39072369482422
2023-05-02 16:50:08.479,2023-05-02 16:50:08.8,-41.25,-111.451317,70.201317
2023-05-02 16:50:08.609,2023-05-02 16:50:09.0,-40.6,-111.451317,70.85131852587891
2023-05-02 16:50:08.747,2023-05-02 16:50:09.2,-40.52,-111.451317,70.93131654223633
2023-05-02 16:50:08.81,2023-05-02 16:50:09.2,-40.66,-110.782761,70.12276115258788
2023-05-02 16:50:08.946,2023-05-02 16:50:09.4,-40.68,-110.782761,70.10276069482421
2023-05-02 16:50:09.047,2023-05-02 16:50:09.4,-40.57,-111.071747,70.50174730517578
2023-05-02 16:50:09.153,2023-05-02 16:50:09.6,-40.83,-111.071747,70.24174516894531
2023-05-02 16:50:09.247,2023-05-02 16:50:09.6,-40.71,-111.102158,70.39215891552735
2023-05-02 16:50:09.383,2023-05-02 16:50:09.8,-40.35,-111.102158,70.75215952587891
2023-05-02 16:50:09.417,2023-05-02 16:50:09.8,-40.28,-110.785095,70.50509622070312
2023-05-02 16:50:09.579,2023-05-02 16:50:10.0,-39.34,-110.785095,71.44509484741211
2023-05-02 16:50:09.616,2023-05-02 16:50:10.0,-39.08,-110.162186,71.08218416894532
2023-05-02 16:50:09.757,2023-05-02 16:50:10.2,-36.79,-110.162186,73.37218508447266
