Input,Time,Latitude,Longitude,Altitude,Pitch,Yaw,Roll,Stonex_status
SMAR,2023-06-12 14:59:40.623,46.0898097,11.1155356,250.54249341693006,-4.64,102.99,2.04,null
SMAR,2023-06-12 14:59:40.656,46.0898097,11.1155356,250.54249341693006,-4.62,102.38,2.07,null
STON,2023-06-12 14:59:40.656,46.08980695,11.115528488333334,198.204,-3.634022,-2.851758,2.740711,2
SMAR,2023-06-12 14:59:40.686,46.0898097,11.1155356,250.54249341693006,-4.68,102.11,2.06,null
STON,2023-06-12 14:59:40.686,46.089806975,11.115528491666666,198.209,-3.634022,-2.851758,2.740711,2
SMAR,2023-06-12 14:59:40.722,46.0898097,11.1155356,250.54249341693006,-4.73,102.27,2.03,null
SMAR,2023-06-12 14:59:40.753,46.0898097,11.1155356,250.54249341693006,-4.8,102.49,1.97,null
STON,2023-06-12 14:59:40.753,46.08980704166667,11.115528531666667,198.203,-3.634022,-2.851758,2.740711,2
SMAR,2023-06-12 14:59:40.789,46.0898097,11.1155356,250.54249341693006,-4.88,102.54,1.97,null
SMAR,2023-06-12 14:59:40.824,46.0898097,11.1155356,250.54249341693006,-4.92,102.37,1.95,null
SMAR,2023-06-12 14:59:40.855,46.0898097,11.1155356,250.54249341693006,-4.97,102.05,1.95,null
SMAR,2023-06-12 14:59:40.89,46.0898097,11.1155356,250.54249341693006,-5.02,101.7,1.96,null
STON,2023-06-12 14:59:40.89,46.08980704166667,11.115528531666667,198.203,-3.837966,-4.446333,2.712558,2
SMAR,2023-06-12 14:59:40.917,46.0898097,11.1155356,250.54249341693006,-5.06,101.34,1.95,null
SMAR,2023-06-12 14:59:40.954,46.0898097,11.1155356,250.54249341693006,-5.09,100.84,1.96,null
SMAR,2023-06-12 14:59:40.987,46.0898097,11.1155356,250.54249341693006,-5.09,100.16,1.96,null
STON,2023-06-12 14:59:40.987,46.08980714333333,11.115528618333334,198.202,-3.837966,-4.446333,2.712558,2
SMAR,2023-06-12 14:59:41.022,46.0898097,11.1155356,250.54249341693006,-5.09,99.37,1.98,null
SMAR,2023-06-12 14:59:41.052,46.0898097,11.1155356,250.54249341693006,-5.1,98.47,2.0,null
STON,2023-06-12 14:59:41.052,46.08980714333333,11.115528618333334,198.202,-4.180817,-5.173751,2.603614,2
SMAR,2023-06-12 14:59:41.089,46.0898097,11.1155356,250.54249341693006,-5.1,97.55,2.03,null
SMAR,2023-06-12 14:59:41.126,46.0898097,11.1155356,250.54249341693006,-5.09,96.59,2.06,null
SMAR,2023-06-12 14:59:41.159,46.0898097,11.1155356,250.54249341693006,-5.09,95.74,2.07,null
SMAR,2023-06-12 14:59:41.192,46.0898097,11.1155356,250.54249341693006,-5.1,94.97,2.07,null
STON,2023-06-12 14:59:41.192,46.08980716,11.115528738333333,198.209,-4.180817,-5.173751,2.603614,2
SMAR,2023-06-12 14:59:41.222,46.0898097,11.1155356,250.54249341693006,-5.09,94.23,2.05,null
SMAR,2023-06-12 14:59:41.254,46.0898097,11.1155356,250.54249341693006,-5.11,93.45,2.02,null
SMAR,2023-06-12 14:59:41.285,46.0898097,11.1155356,250.54249341693006,-5.1,92.44,1.98,null
STON,2023-06-12 14:59:41.285,46.08980716,11.115528738333333,198.209,-4.215042,-9.663187,2.711172,2
SMAR,2023-06-12 14:59:41.325,46.0898097,11.1155356,250.54249341693006,-5.09,91.23,1.94,null
SMAR,2023-06-12 14:59:41.363,46.0898097,11.1155356,250.54249341693006,-5.12,89.79,1.92,null
SMAR,2023-06-12 14:59:41.393,46.0898097,11.1155356,250.54249341693006,-5.15,88.02,1.89,null
SMAR,2023-06-12 14:59:41.425,46.0898101,11.1155354,250.3754671330153,-5.12,85.76,1.86,null
STON,2023-06-12 14:59:41.425,46.08980717666667,11.115528958333334,198.209,-4.215042,-9.663187,2.711172,2
SMAR,2023-06-12 14:59:41.461,46.0898101,11.1155354,250.3754671330153,-5.15,83.13,1.84,null
SMAR,2023-06-12 14:59:41.512,46.0898101,11.1155354,250.3754671330153,-5.14,80.41,1.8,null
STON,2023-06-12 14:59:41.512,46.08980717666667,11.115528958333334,198.209,-4.217041,-14.866733,2.621562,2
SMAR,2023-06-12 14:59:41.539,46.0898101,11.1155354,250.3754671330153,-5.16,77.77,1.79,null
SMAR,2023-06-12 14:59:41.562,46.0898101,11.1155354,250.3754671330153,-5.21,75.46,1.73,null
STON,2023-06-12 14:59:41.562,46.08980715,11.11552942,198.214,-4.217041,-14.866733,2.621562,2
SMAR,2023-06-12 14:59:41.6,46.0898101,11.1155354,250.3754671330153,-5.33,73.52,1.68,null
SMAR,2023-06-12 14:59:41.629,46.0898101,11.1155354,250.3754671330153,-5.38,71.74,1.59,null
STON,2023-06-12 14:59:41.629,46.08980715,11.11552942,198.214,-4.210806,-27.757435,2.497086,2
SMAR,2023-06-12 14:59:41.658,46.0898101,11.1155354,250.3754671330153,-5.49,69.82,1.51,null
SMAR,2023-06-12 14:59:41.69,46.0898101,11.1155354,250.3754671330153,-5.62,67.57,1.47,null
SMAR,2023-06-12 14:59:41.741,46.0898101,11.1155354,250.3754671330153,-5.66,65.14,1.46,null
SMAR,2023-06-12 14:59:41.765,46.0898101,11.1155354,250.3754671330153,-5.78,62.67,1.48,null
SMAR,2023-06-12 14:59:41.798,46.0898101,11.1155354,250.3754671330153,-5.92,60.24,1.52,null
STON,2023-06-12 14:59:41.798,46.08980709,11.115530048333333,198.218,-4.210806,-27.757435,2.497086,2
