Android_time,Smartphone_gnss_time,Delta_Android-GNSS
2023-06-12 15:00:03.341,2023-06-12 15:00:03.333,8
2023-06-12 15:00:04.343,2023-06-12 15:00:04.339,4
2023-06-12 15:00:05.377,2023-06-12 15:00:05.356,21
2023-06-12 15:00:06.379,2023-06-12 15:00:06.358,21
2023-06-12 15:00:07.346,2023-06-12 15:00:07.341,5
2023-06-12 15:00:08.348,2023-06-12 15:00:08.347,1
2023-06-12 15:00:09.35,2023-06-12 15:00:09.351,-1
2023-06-12 15:00:10.366,2023-06-12 15:00:10.347,19
2023-06-12 15:00:11.367,2023-06-12 15:00:11.357,10
2023-06-12 15:00:12.334,2023-06-12 15:00:12.345,-11
2023-06-12 15:00:13.368,2023-06-12 15:00:13.35,18
2023-06-12 15:00:14.337,2023-06-12 15:00:14.344,-7
2023-06-12 15:00:15.372,2023-06-12 15:00:15.343,29
2023-06-12 15:00:16.344,2023-06-12 15:00:16.338,6
