,Android_time,Stonex_gnss_time,ARCore_yaw,Stonex_yaw,Delta_yaw_AR_Ston,Stonex_status
0,2023-06-12 14:59:40.623,2023-06-12 14:59:04.8,102.99,-2.851758,-100.13823986376951,2
1,2023-06-12 14:59:40.656,2023-06-12 14:59:04.8,102.38,-2.851758,-99.52823925341796,2
2,2023-06-12 14:59:40.686,2023-06-12 14:59:05.0,102.11,-2.851758,-99.25824261035156,2
3,2023-06-12 14:59:40.722,2023-06-12 14:59:05.2,102.27,-2.851758,-99.4182386430664,2
4,2023-06-12 14:59:40.753,2023-06-12 14:59:05.2,102.49,-2.851758,-99.63823986376951,2
5,2023-06-12 14:59:40.789,2023-06-12 14:59:05.4,102.54,-2.851758,-99.68824291552734,2
6,2023-06-12 14:59:40.824,2023-06-12 14:59:05.4,102.37,-2.851758,-99.51824474658204,2
7,2023-06-12 14:59:40.855,2023-06-12 14:59:05.4,102.05,-2.851758,-99.1982450517578,2
8,2023-06-12 14:59:40.89,2023-06-12 14:59:05.4,101.7,-2.851758,-98.84823894824218,2
9,2023-06-12 14:59:40.917,2023-06-12 14:59:05.4,101.34,-4.446333,-96.89366333789064,2
10,2023-06-12 14:59:40.954,2023-06-12 14:59:05.4,100.84,-4.446333,-96.39366333789064,2
11,2023-06-12 14:59:40.987,2023-06-12 14:59:05.4,100.16,-4.446333,-95.71367066210938,2
12,2023-06-12 14:59:41.022,2023-06-12 14:59:05.6,99.37,-4.446333,-94.92366974658204,2
13,2023-06-12 14:59:41.052,2023-06-12 14:59:05.6,98.47,-4.446333,-94.02366822070312,2
14,2023-06-12 14:59:41.089,2023-06-12 14:59:05.6,97.55,-5.173751,-92.37625205175782,2
15,2023-06-12 14:59:41.126,2023-06-12 14:59:05.6,96.59,-5.173751,-91.41624533789064,2
16,2023-06-12 14:59:41.159,2023-06-12 14:59:05.6,95.74,-5.173751,-90.56624686376954,2
17,2023-06-12 14:59:41.192,2023-06-12 14:59:05.6,94.97,-5.173751,-89.79625022070313,2
18,2023-06-12 14:59:41.222,2023-06-12 14:59:05.8,94.23,-5.173751,-89.0562523569336,2
19,2023-06-12 14:59:41.254,2023-06-12 14:59:05.8,93.45,-5.173751,-88.27624594824219,2
20,2023-06-12 14:59:41.285,2023-06-12 14:59:05.8,92.44,-5.173751,-87.26625144140625,2
21,2023-06-12 14:59:41.325,2023-06-12 14:59:05.8,91.23,-9.663187,-81.5668163569336,2
22,2023-06-12 14:59:41.363,2023-06-12 14:59:05.8,89.79,-9.663187,-80.12681391552735,2
23,2023-06-12 14:59:41.393,2023-06-12 14:59:05.8,88.02,-9.663187,-78.35680964306641,2
24,2023-06-12 14:59:41.425,2023-06-12 14:59:05.8,85.76,-9.663187,-76.09681513623048,2
25,2023-06-12 14:59:41.461,2023-06-12 14:59:06.0,83.13,-9.663187,-73.46681025341798,2
26,2023-06-12 14:59:41.512,2023-06-12 14:59:06.0,80.41,-9.663187,-70.74681666210938,2
27,2023-06-12 14:59:41.539,2023-06-12 14:59:06.0,77.77,-14.866733,-62.90326364306641,2
28,2023-06-12 14:59:41.562,2023-06-12 14:59:06.0,75.46,-14.866733,-60.59326608447266,2
29,2023-06-12 14:59:41.6,2023-06-12 14:59:06.2,73.52,-14.866733,-58.65326364306641,2
