Android_time,Stonex_gnss_time,ARCore_yaw,Stonex_yaw,Delta_yaw_AR_Ston,Stonex_status
2023-06-12 15:00:02.732,2023-06-12 14:59:27.4,-1.32,-111.187149,109.86714894754792,2
2023-06-12 15:00:02.808,2023-06-12 14:59:27.4,-1.2,-111.467148,110.26714795231628,2
2023-06-12 15:00:02.907,2023-06-12 14:59:27.6,-1.38,-111.467148,110.08714800476837,2
2023-06-12 15:00:03.008,2023-06-12 14:59:27.6,-1.68,-111.721916,110.04191605245208,2
2023-06-12 15:00:03.107,2023-06-12 14:59:27.8,-1.97,-111.721916,109.75191597138976,2
2023-06-12 15:00:03.174,2023-06-12 14:59:27.8,-2.52,-112.418724,109.89872401907348,2
2023-06-12 15:00:03.374,2023-06-12 14:59:28.0,-5.2,-112.418724,107.21872419073486,2
2023-06-12 15:00:03.374,2023-06-12 14:59:28.0,-5.2,-115.167587,109.96758719073486,2
2023-06-12 15:00:03.547,2023-06-12 14:59:28.2,-10.19,-115.167587,104.9775874196167,2
2023-06-12 15:00:03.608,2023-06-12 14:59:28.2,-12.36,-120.216042,107.85604234332276,2
2023-06-12 15:00:03.742,2023-06-12 14:59:28.4,-15.65,-120.216042,104.56604238146973,2
2023-06-12 15:00:03.81,2023-06-12 14:59:28.4,-17.64,-125.703644,108.06364461035156,2
2023-06-12 15:00:03.943,2023-06-12 14:59:28.6,-20.6,-125.703644,105.10364361853027,2
2023-06-12 15:00:03.975,2023-06-12 14:59:28.6,-21.79,-130.646332,108.85633108447266,2
2023-06-12 15:00:04.145,2023-06-12 14:59:28.8,-27.29,-130.646332,103.35633108447266,2
2023-06-12 15:00:04.204,2023-06-12 14:59:28.8,-29.43,-137.296997,107.86699669482422,2
2023-06-12 15:00:04.409,2023-06-12 14:59:29.0,-36.27,-137.296997,101.02699654223633,2
2023-06-12 15:00:04.468,2023-06-12 14:59:29.0,-38.51,-144.166611,105.65661267846679,2
2023-06-12 15:00:04.548,2023-06-12 14:59:29.2,-41.36,-144.166611,102.80661038964843,2
2023-06-12 15:00:04.745,2023-06-12 14:59:29.4,-47.77,-144.166611,96.39661054223632,2
2023-06-12 15:00:04.777,2023-06-12 14:59:29.4,-48.23,-157.704803,109.47480345776367,2
2023-06-12 15:00:04.943,2023-06-12 14:59:29.6,-54.47,-157.704803,103.23480177929687,2
2023-06-12 15:00:05.012,2023-06-12 14:59:29.6,-56.87,-164.091904,107.22190506811523,2
2023-06-12 15:00:05.144,2023-06-12 14:59:29.8,-60.47,-164.091904,103.62190277929687,2
2023-06-12 15:00:05.209,2023-06-12 14:59:29.8,-62.45,-170.099609,107.64960823706053,2
2023-06-12 15:00:05.445,2023-06-12 14:59:30.0,-70.47,-170.099609,99.62960777929686,2
2023-06-12 15:00:05.545,2023-06-12 14:59:30.0,-72.7,-177.53244,104.83244305175782,2
2023-06-12 15:00:05.545,2023-06-12 14:59:30.2,-72.7,-177.53244,104.83244305175782,2
2023-06-12 15:00:05.645,2023-06-12 14:59:30.2,-77.33,177.955475,-255.2854768310547,2
2023-06-12 15:00:05.744,2023-06-12 14:59:30.4,-81.86,177.955475,-259.81547561035154,2
2023-06-12 15:00:05.812,2023-06-12 14:59:30.4,-84.97,169.069519,-254.03952022070314,2
2023-06-12 15:00:05.912,2023-06-12 14:59:30.6,-89.02,169.069519,-258.0895156430664,2
2023-06-12 15:00:06.01,2023-06-12 14:59:30.6,-94.16,160.655807,-254.81581066210939,2
2023-06-12 15:00:06.111,2023-06-12 14:59:30.8,-100.19,160.655807,-260.84580944140623,2
2023-06-12 15:00:06.211,2023-06-12 14:59:30.8,-104.91,149.500687,-254.41069066210937,2
2023-06-12 15:00:06.411,2023-06-12 14:59:31.0,-112.05,141.615921,-253.6659240517578,2
2023-06-12 15:00:06.445,2023-06-12 14:59:31.0,-113.19,141.615921,-254.80592344140624,2
2023-06-12 15:00:06.541,2023-06-12 14:59:31.2,-116.83,141.615921,-258.44592283105465,2
2023-06-12 15:00:06.61,2023-06-12 14:59:31.2,-118.62,134.747681,-253.36768374658203,2
2023-06-12 15:00:06.714,2023-06-12 14:59:31.4,-120.74,134.747681,-255.48767886376953,2
2023-06-12 15:00:06.811,2023-06-12 14:59:31.4,-123.38,130.014114,-253.39411125341798,2
2023-06-12 15:00:06.914,2023-06-12 14:59:31.6,-126.24,130.014114,-256.25411186376954,2
2023-06-12 15:00:07.046,2023-06-12 14:59:31.6,-130.33,124.553558,-254.8835598310547,2
2023-06-12 15:00:07.111,2023-06-12 14:59:31.8,-132.48,124.553558,-257.0335537275391,2
2023-06-12 15:00:07.179,2023-06-12 14:59:31.8,-135.25,118.231812,-253.481812,2
2023-06-12 15:00:07.545,2023-06-12 14:59:32.0,-149.56,118.231812,-267.79180955859374,2
2023-06-12 15:00:07.597,2023-06-12 14:59:32.2,-152.15,118.231812,-270.38180589648437,2
2023-06-12 15:00:07.68,2023-06-12 14:59:32.2,-154.3,102.802483,-257.1024860517578,2
2023-06-12 15:00:07.713,2023-06-12 14:59:32.4,-155.45,102.802483,-258.2524799482422,2
2023-06-12 15:00:07.814,2023-06-12 14:59:32.4,-159.77,95.776886,-255.54689027246093,2
2023-06-12 15:00:07.913,2023-06-12 14:59:32.599,-163.86,95.776886,-259.63688661035155,2
2023-06-12 15:00:08.149,2023-06-12 14:59:32.8,-172.95,95.776886,-268.7268829482422,2
2023-06-12 15:00:08.212,2023-06-12 14:59:32.8,-174.47,79.855003,-254.32500422070314,2
2023-06-12 15:00:08.416,2023-06-12 14:59:33.0,177.56,79.855003,97.70499455859375,2
2023-06-12 15:00:08.446,2023-06-12 14:59:33.0,176.51,73.555611,102.95438350683594,2
2023-06-12 15:00:08.513,2023-06-12 14:59:33.2,175.02,73.555611,101.46439327246094,2
2023-06-12 15:00:08.615,2023-06-12 14:59:33.2,172.76,67.364998,105.39499650683594,2
2023-06-12 15:00:08.714,2023-06-12 14:59:33.4,169.84,67.364998,102.47499833789063,2
2023-06-12 15:00:08.773,2023-06-12 14:59:33.4,167.48,61.941631,105.53836472753906,2
2023-06-12 15:00:08.947,2023-06-12 14:59:33.6,163.0,61.941631,101.058369,2
2023-06-12 15:00:09.001,2023-06-12 14:59:33.6,160.82,56.172436,104.64757132421875,2
2023-06-12 15:00:09.167,2023-06-12 14:59:33.8,156.55,56.172436,100.37756705175781,2
2023-06-12 15:00:09.215,2023-06-12 14:59:33.8,155.35,50.786846,104.56316010351563,2
2023-06-12 15:00:09.414,2023-06-12 14:59:34.0,150.99,50.786846,100.20315949316407,2
2023-06-12 15:00:09.462,2023-06-12 14:59:34.0,149.01,45.07391,103.93608450683594,2
2023-06-12 15:00:09.586,2023-06-12 14:59:34.2,144.85,45.07391,99.77609610351563,2
2023-06-12 15:00:09.623,2023-06-12 14:59:34.2,143.75,40.164394,103.585606,2
2023-06-12 15:00:09.751,2023-06-12 14:59:34.4,138.49,40.164394,98.32561149316406,2
2023-06-12 15:00:09.823,2023-06-12 14:59:34.4,135.51,33.332207,102.17778750683594,2
2023-06-12 15:00:09.955,2023-06-12 14:59:34.6,130.29,33.332207,96.95778628613282,2
2023-06-12 15:00:10.067,2023-06-12 14:59:34.6,126.27,24.929707,101.3402896430664,2
2023-06-12 15:00:10.139,2023-06-12 14:59:34.8,123.42,24.929707,98.4902911689453,2
2023-06-12 15:00:10.232,2023-06-12 14:59:34.8,120.81,17.072433,103.73756455859375,2
2023-06-12 15:00:10.467,2023-06-12 14:59:35.0,114.59,17.072433,97.51756333789062,2
2023-06-12 15:00:10.604,2023-06-12 14:59:35.0,110.82,12.342779,98.47722069482421,2
2023-06-12 15:00:10.636,2023-06-12 14:59:35.2,109.58,12.342779,97.23722283105468,2
2023-06-12 15:00:10.804,2023-06-12 14:59:35.2,104.22,6.470558,97.74944322070313,2
2023-06-12 15:00:10.905,2023-06-12 14:59:35.4,100.22,6.470558,93.74944322070313,2
2023-06-12 15:00:11.166,2023-06-12 14:59:35.4,90.85,-0.079734,90.9297324741211,2
2023-06-12 15:00:11.166,2023-06-12 14:59:35.6,90.85,-0.079734,90.9297324741211,2
2023-06-12 15:00:11.234,2023-06-12 14:59:35.6,88.29,-7.269085,95.55908591552735,2
2023-06-12 15:00:11.234,2023-06-12 14:59:35.8,88.29,-7.269085,95.55908591552735,2
2023-06-12 15:00:11.267,2023-06-12 14:59:35.8,86.99,-14.380943,101.37094086376953,2
2023-06-12 15:00:11.4,2023-06-12 14:59:36.0,82.1,-14.380943,96.4809414741211,2
2023-06-12 15:00:11.51,2023-06-12 14:59:36.0,78.43,-21.182404,99.61240430517577,2
2023-06-12 15:00:11.575,2023-06-12 14:59:36.2,75.79,-21.182404,96.97240491552733,2
2023-06-12 15:00:11.668,2023-06-12 14:59:36.2,71.36,-28.393951,99.75395161035156,2
2023-06-12 15:00:11.734,2023-06-12 14:59:36.4,68.58,-28.393951,96.97395283105469,2
2023-06-12 15:00:11.835,2023-06-12 14:59:36.4,64.77,-36.822517,101.59251364306641,2
2023-06-12 15:00:11.973,2023-06-12 14:59:36.6,58.35,-36.822517,95.1725154741211,2
2023-06-12 15:00:12.0,2023-06-12 14:59:36.6,57.03,-45.391708,102.42170677929687,2
2023-06-12 15:00:12.138,2023-06-12 14:59:36.8,52.76,-45.391708,98.1517063215332,2
2023-06-12 15:00:12.369,2023-06-12 14:59:37.0,44.76,-45.391708,90.1517063215332,2
2023-06-12 15:00:12.408,2023-06-12 14:59:37.0,43.51,-59.273773,102.78377132153321,2
2023-06-12 15:00:12.538,2023-06-12 14:59:37.2,39.33,-59.273773,98.6037748310547,2
2023-06-12 15:00:12.702,2023-06-12 14:59:37.2,35.31,-65.95089,101.26089137329102,2
